,menu
2859,Aloo Tikki (3 Pieces)
2860,"""Godavari"" Mamsam Roast (Special Goat Fry)"
2861,Lamb Kheema Saag
2862,Taj Non-Vegetarian Platter
2863,Diet Coke (Party)
2864,Chili Chicken (Wet)
2865,"NOT YOUR ""BORING"" IDLY"
2866,Chicken Malai Kebab
2867,Spinach Roti (Vegan)
2868,Sheekh Kebab Masala
2869,Seekh Kebab (6 Chopped)
2870,Goat Curry (Chef Special)
2871,61. 4 Piece Samosa
2872,AMRITSARI CHOLE LUNCH
2873,Vegetables Biryani
2874,Paneer Pakora (4 Pieces)
2875,Fish Saag (Lunch)
2876,Poori Large
2877,STELLA ARTOIS
2878,Choley
2879,RAITA LUNCH
2880,Shrimp Masala Medium
2881,Bakra Bahar With Bone
2882,Curry With Paneer
2883,Jeera Pulao
2884,Mysore Masala With Onion Dosa
2885,Curry Chicken (Boneless) & Buss Up Shot Roti
2886,Chicken Chana Masala - House Special
2887,Veg Manchurian
2888,ALOO TIKKI CHAAT
2889,Masala Peanut
2890,"""1947"" Veg Chettinad (Avakaya/Gongura)"
2891,Meat Samosa (2 Pieces)
2892,Kadhai Chicken
2893,MADRAS SAMBAR IDLY
2894,Aloo Bodi Tama (V)
2895,Nepali Snacks
2896,Paneer Tikka Masala Meal
2897,Vegetables Momo (8 Pcs.)
2898,Catering Saag Paneer
2899,Paneer Makhni (Butter Paneer)
2900,Chicken Jhalfrazi
2901,Catering Chicken Chann
2902,Pinot Gris Glass
2903,Goat (Bone-In) Vindaloo
2904,Baingan Bharta
2905,FUDGE BROWNIE W/WALNUTS
2906,52.LAMB SHANK MIX WITH Chicken CHAPLI PLATE
2907,GOSHT ROGANJOSH LUNCH
2908,Daal Ghost
2909,SAN PELLEGRINO PRICKLY PEAR AND ORANGE
2910,Tofu Kashmiri
2911,"Stewed Ox Tail Dinner With (Thu, Fri And Sat Only) With Rice"
2912,Medley Korma
2913,Hot & Sour Chicken Soup
2914,MASALA TEA
2915,Ghee Mini Idli
2916,Sweet & Spicy Shrimp (Appitizer)
2917,Chicken Wrap
2918,Makhmali Chicken
2919,Snapper Fish & Bush Up Shot (Paratha) Roti
2920,Shrimp Curry
2921,Gatorade
2922,Goat Haleem
2923,Cheese Vada Pav
2924,Chicken Pakora (6 Pieces)
2925,Catering Aloo Palak (Party)
2926,4 Onion Bhaji
2927,Bhindi Masala.
2928,Poland Spring
2929,PANEER KULCHA
2930,Paneer Bhurji Sandwich
2931,Lassi Sweet
2932,House Special Platter
2933,5 Cans Of Sprite
2934,Boti Kebab
2935,"""MASTAN BHAI"" MUTTON BIRYANI"
2936,Chicken Tikka ( Large Tray)
2937,Mushroom Grill
2938,VEG PAKORA LARGE
2939,Goat Curry Large
2940,Shrimp Vindaloo Small
2941,Tonic
2942,Tandoori Duck Masala
2943,Pinot Noir Glass
2944,Assorted Bhajia
2945,Bhinidi Masala
2946,Szechuan Chilli Momo
2947,Sambar
2948,Aloo Palak
2949,Turmeric Chai Latte
2950,Chicken Jalfrezi (Lunch)
2951,Kung Pao Chicken
2952,Navaratna Korma
2953,Shrimp Jhalfrezi
2954,Balti Paneer
2955,Mushroom Mattar
2956,Lamb MoMo (Fried)
2957,Matar Paneer Large
2958,GUEST SIZE - (9)
2959,Paneer Spinach MoMo (Fried)
2960,BHAGARE BAIGAN
2961,Chicken Fingers W/Fries
2962,Khasi Biryani (Goat Meat with bone)
2963,Samosa
2964,Thumbs UP
2965,Cheese (Paneer) Naan
2966,Vegetable Biryani
2967,Curry Goat Roti Wrap (Bone-In)
2968,Chilli Malai Wrap
2969,Extra Chutney
2970,Swordfish Tikka Masala
2971,Cheese Chilly
2972,Lamb Tikka Masala ( Small Tray )
2973,Chicken Rogan Josh
2974,Dal Makhni
2975,Rajbhog
2976,Combo 2
2977,Goat Shahi Korma (With Bone) (Lunch)
2978,Goat Biryani
2979,Matka Kulfi - 2 Pcs (Clay-Pot Ice Cream)
2980,Chapati Bread Special (2)
2981,Kothu Parotta
2982,Onion Chutney (Large)
2983,Lamb Fried Rice
2984,Bhaji Pav
2985,Fish Korma
2986,Mint Chutney 8oz
2987,Tofu Saag Small
2988,MIT - Catering For Ten Guests (Non-Veg)
2989,Catering Lamb Coconut Curry (Party)
2990,Aloo Saag Lunch
2991,Coconut Barfi 5pcs
2992,Schezuan Veg Hakka Noodles
2993,Chicken Vindaloo Large
2994,Palak paneer
2995,SNAPPLE BLACK CHERRY LEMONADE
2996,Onion Bhaji (4)
2997,Shrimp Tikka Kebab
2998,Indian Coffee
2999,Sahi Paneer Korma
3000,Chili Paneer Cut Dosa
3001,SNAPPLE LEMON TEA
3002,Pashwari Naan
3003,Aloo Gosht Chicken
3004,Red Sangria Pitcher
3005,2 Lb Mix Sweet
3006,Chicken Hot&Sour Soup
3007,Veg. Noodle With Manchurian
3008,Combination Lunch Thali Style
3009,Cheese Chinese Bhel
3010,Saag Tikki (Vegan)
3011,Yellow Lentil Soup
3012,Tali Machi
3013,Catering Chicken Korma (Party)
3014,Catering Plain Basmati Rice
3015,Lamb Hyderabadi
3016,Coconut Poori
3017,Stuffed Naan Small
3018,Extra Biryani Rice
3019,Vegetable Samosas
3020,Lemon Curry Leaf Rice
3021,Small Onion Rings
3022,PUNJABI KADHI PAKORA LUNCH
3023,Mountain Dew (Can)
3024,Chicken Mango
3025,Apple Juice
3026,Vegetable Roll
3027,Grilled Chicken Salad
3028,Ginger Kabab
3029,White Sangria Pitcher
3030,Paneer Pakora (6 Pieces)
3031,Veg Noodles
3032,Gazar Ko Haluwa
3033,Royal Korma
3034,Chapli Kebab
3035,Lahori Chicken Rice
3036,Gulab Jamun (2 Nos.)
3037,Ghee Upma
3038,Uthappam
3039,Pyaz Dania Kulcha
3040,Naan Pizza Paneer
3041,Goat Masala (With Bone)
3042,Kabuli Chana
3043,Chicken Thukpa
3044,Beef Korma
3045,Shrimp Do Piaza Small
3046,POTLI SAMOSA BRUNCH
3047,Pratha
3048,Vegetarian Roti Wrap
3049,Shanti Express Salad
3050,Gongura Mutton (Goat)
3051,Lamb Seekh Wrap
3052,Methi Matar Malai (Lunch)
3053,Catering Chicken Coconut Korma Curry
3054,Utensils
3055,Chili Naan
3056,Paneer Tawa Masala
3057,Goat Karahi Platter
3058,Side Beef Nihari
3059,Goat Korma Medium
3060,Shrimp Saagwala Medium
3061,Seafood Combo
3062,Chili Gobi Dry
3063,Motichur Ladoo 4 Pcs
3064,King Of Kodivepudu
3065,7. Beef Chapli Platter
3066,Diet Pepsi
3067,Chicken Phall
3068,"""CUT"" THE CUTLET"
3069,Salted Lassi
3070,Tandoori Salmon Tikka
3071,Poori Bhaji
3072,Behel-Puri (Vegan)
3073,Chicken Subz Panchmael
3074,Bread Basket ( Naan+Roti+Garlic Naan+ Paneer Naan)
3075,Corn Bhel
3076,Tikka Gravy
3077,Ulaycharu Kodi Vepadu
3078,Mint Paratha (Vegan)
3079,Navaratan Khorma
3080,Punjabi Salad
3081,Ghobi Manchurian Dry
3082,"""SMILEY"" DOSAI"
3083,Aloo Muttar
3084,Plain Dosa
3085,Gongura Chicken Dum Biryani
3086,Chhole Bhature
3087,Chaat Vegetable Samosa Large Tray
3088,Chicken Madras
3089,Shrimp Briyani
3090,Lentil And Garlic Soup
3091,Chicken Fiery Fried Rice
3092,Chicken Cholay
3093,Goat Curry Platter
3094,Aloo Paratha Medium
3095,"WHAT THE ""TIKKA"""
3096,Vegetable Xacuti
3097,Paneeer Takatak
3098,Fish Koliwada
3099,"""JUNGLEE"" TIKKA MASALA"
3100,Sze Mixed Noodles
3101,Chicken Biryani Small
3102,Bengali Fish Tikka
3103,Lamb Kheema Masala
3104,Coconut Chicken Curry
3105,Butter Naan
3106,GOODS KETTLE CHIPS
3107,Mysor Dosa
3108,THE SOUTHERN DAMSEL
3109,Chicken Jal-Farezi
3110,Meat Samosa
3111,"Mango Lassi, Home Made Yogurt Drinks."
3112,16. Mix & Match Chicken Kofta Platter
3113,Chicken Burger
3114,Machli Masala
3115,Chicken Takatak
3116,Plates & Utencils
3117,Mixed Platter
3118,Lamb Roganjosh
3119,Aloo Matar Medium
3120,Shrimp Masala (Lunch)
3121,Extra Basmati Rice
3122,Vegetable Appetizer Platter
3123,Chicken - Tiffin Box For Two - ???? ????? ?????
3124,MALVANI FISH PAKORA
3125,Beef Boti Tikka Masala
3126,BEET SALAD MEDIUM
3127,Paneer Hungama Grill
3128,Mozzarella sticks
3129,Massala Sauce 8 Oz
3130,Chili Garlic Naan (Bullet Naan)
3131,Chicken Meat Balls
3132,Puri Chole Masala
3133,Veg. Biryani
3134,Coconut Lamb Curry
3135,Non-Veg Dinner For One
3136,Soda (Coke/Diet Coke/Sprite)
3137,Catering Chicken Subz Panchmael (Party)
3138,Egg Curry Spicy
3139,Vegan Masala Aloo Gobi
3140,Coconut Mustard Salmon Or Shrimp
3141,Kerala Goat Curry
3142,Chicken Paneer (Lunch)
3143,PAHARGANJ CHOLE BHATURA
3144,Jhol Momos/Chilli Style
3145,Veg. Makhanwala
3146,Goat Shahi Korma (With Bone)
3147,Tandoori Chicken Medium
3148,Mango Lassi
3149,VEG SAMOSA SMALL
3150,Chicken Uttapam
3151,Rose Milk
3152,Madras Tomato Soup
3153,Veg Chowmein
3154,Puri + Chicken Curry
3155,Plain Yogert
3156,Lamb Tiki Masala
3157,Tandoori Roti (Wheat Flour)
3158,Cheese Bhaji Pav
3159,Lentil/Sambar Soup
3160,Seafood Korma
3161,Large Onion rings
3162,Catering Naan
3163,Egg Tava Pulav
3164,House Chef Special Salad
3165,Paratha (Vegan)
3166,Shani Paneer
3167,Avakaya Veg Biryani
3168,Chicken Pakora
3169,Catering Tandoori Duck Masala (Party)
3170,Aloo Gobi
3171,Iced Tea
3172,"Clausthaler, Germany"
3173,Lamb Bahar (Lunch)
3174,Lamb Biryani
3175,Schezwan Fried Rice
3176,Bindi Masala
3177,VANILLA MILKSHAKE
3178,Egg Noodles
3179,Goat Mushroom Curry
3180,Brown Rice
3181,Pav Bhaji
3182,Onion Chilli Uttapam
3183,Chappati (Fulka) 2pc
3184,Chicken Karahi (Bone)
3185,Korma Sauce
3186,Veg. Samosa
3187,Lamb Palak
3188,Tandoori Wings (7 pcs)
3189,Tandoori Shrimp (6)
3190,Mixed Pickle (32 Oz.)
3191,MASALA VEGGIE BURGER (GF/V)
3192,Gobi Pakora
3193,Onion Rings
3194,Kali Mirchi Ke Tikka
3195,Seafood Masala
3196,Vegetarian Karaikudi
3197,Chettinad Goat Curry
3198,Mela Vegetarian Dinner For 2
3199,Stuffed Basket
3200,Lamb Vindaloo Meal
3201,Rava Dosa
3202,Hyderabadi Goat Dum Ka Biryani
3203,Onion Salad
3204,RASGULLA AMARKHAND
3205,Tandorri Tikka
3206,Tandoori Tikka
3207,Channa Saagwala
3208,Lamb Mushroom
3209,Sze Veg Noodles
3210,Goat Curry (HALAL)
3211,Shrimp Tikka Masala
3212,Potato Chilly
3213,Mix Tandoori Grill
3214,Onion Chili Dosa
3215,Onion Naan
3216,TANDOORI SALMON BRUNCH
3217,Mulligatawny Soup (GF & V)
3218,Chicken Fried Momo
3219,Egg Pepper Fry (6 Pieces)
3220,Onion Pakoda
3221,Stuffed Naan Medium
3222,Egg Biryani
3223,Singh's Garden Salad
3224,Tandoori Duck Kadahi
3225,Bhail Poori
3226,44. Falafel Mix Masala Plate
3227,Chicken 65 (Appetizer)
3228,Onion Pakora
3229,Egg Bonda
3230,Madras Chicken Curry
3231,Chicken Shorba Soup
3232,ALOO POTLI LUNCH TOGO
3233,Catering Lamb Curry (Party)
3234,Navratan Korma
3235,MASALADAR BHINDI BRUNCH
3236,Karaikudi Curry
3237,Shahi Paneer Makhani (Lunch)
3238,Chicken Tikka
3239,Shrimp Hakka Noodles
3240,Fruit Juice
3241,Bindass Fish Fry
3242,Combination Dinner
3243,Butter Dosa
3244,Shaam Savera
3245,COWBOY BRISKET
3246,Dahl Bhalla
3247,Paneer Roll Masala Dosa
3248,Goat Curry With Gravy
3249,Rice Pudding
3250,Ice Cream
3251,Catering Lamb Paneer Masala
3252,Kebab Tasting Platter
3253,Garlic Nan
3254,Lunch Plantain Curry
3255,Non - Vegetarian Dinner for Four
3256,Grilled Veggie Wrap
3257,Catering Fish Masala
3258,Curry Express Special Biriyani
3259,BEET SALAD SMALL
3260,Chicken Tikka Dal Large
3261,Behel-Puri
3262,Paneer Pakora
3263,Chana Masala (Kathi Roll)
3264,Chicken 999
3265,Shahi Aloo Gobhi Medium
3266,Tawa Paratha
3267,Godavari Shrimp Fry
3268,Sterno
3269,Karahi Fish
3270,Baby Corn 69
3271,Chicken Corn Soup
3272,Pizza Base
3273,Malai Soya Chaap
3274,"Seafood Side Entree (DF, NF, GF)"
3275,Salmon Tandoori
3276,Hot Onion Chutney
3277,Chicken Tikka Masala Small
3278,Lunch Lamb Vindaloo
3279,33.LAMB SHANK Naan
3280,Chicken Tofu Curry
3281,Palak (Spinach) Rice
3282,Ganga Jamuna
3283,Chole Masalewala
3284,Gobi Aloo
3285,Dahi Papri Chaat
3286,Catering Naan Apricot Date (Party)
3287,Fresh Mint Chutney (3oz)
3288,Plain Lassi (16 Cups)
3289,Fish Masala
3290,Tofu Jalfrezi
3291,ZAPP'S HOTTER N' HOT JALAPENO CHIPS
3292,Side order of Basmati Rice
3293,THE MORNING BURGER
3294,Duck Jalfrezi
3295,Masala Sauce (8 Oz)
3296,Chicken Tikka Apt
3297,Vegetable Momo Masala
3298,Aloo gobi
3299,Lime Ricky
3300,Acharigobhi Matar
3301,Kachori (1 Pc) ( Gluten)
3302,Himalayan Special Platter
3303,"""Konaseema"" Special Shrimp Curry (Avakaya/Gongura)"
3304,Fish Curry Catering
3305,Andhra Fish Curry
3306,Guthi Vankaya
3307,Dhaba Egg Fried Rice
3308,Fried Squids
3309,Jhaneko Dal
3310,Goat Kadahi
3311,Chicken Seekh Kabab Wrap
3312,Chilli Cheese Naan
3313,Lamb Shank Curry (Bonein)
3314,Onion Chili Uthappam (Chili & Onion)
3315,Irani Chai (Tea)
3316,Lunch Aloo Choley
3317,Sev Tamatar Curry 12 0z
3318,Andhra Kara Mirchi Bajji
3319,Keema Mutter Small
3320,Vegetarian Samosa (2)
3321,Onion Bhajee for 25 PCS.
3322,Tamarind Sauce 8oz
3323,Egg Manchurian
3324,Malai Kofta Medium
3325,Goat Coconut With Bone
3326,Chicken Dosa
3327,Paneer Spinach MoMo (Chilly)
3328,Imported Sukuti Plate
3329,Lamb Kadai
3330,Curry Beef Roti Wrap
3331,32 Oz. Shrimp Family Dish
3332,Meat Samosas (2)
3333,Mixed Vegetables (Lunch)
3334,Keema Mutter Medium
3335,Szechuan Shrimp Fried Rice
3336,MURG TIKKA MASALA LUNCH
3337,Dal Makhani 80z
3338,Chicken Malai Tikka/Murgh Malai Kabab
3339,Lamb Curry Large
3340,Indian Masala Tea
3341,Ghee Roast Dosa
3342,Beef Coconut Curry
3343,Mix Veg Pakoda
3344,Special Masala Chai
3345,Veg Soup Of The Day
3346,Lucknow Cheese Naan
3347,Vegetable Samosa (3pc)
3348,Pashawary Naan
3349,Goat (Bone-In) Tikka Masala
3350,Paneer Pudhina Tikka
3351,Aloo Bodi
3352,Butter Chicken Large
3353,Batata Wada
3354,"51. Special 25 Skewers, Chops & Kebabs"
3355,Nizami Biryani - Chicken (Halal) (Gluten Free)
3356,Lychee Paneer
3357,Stuffed Paratha
3358,Lunch Lamb Curry
3359,Lamb Boti Tikka Masala
3360,2. Chicken Kofta Platter
3361,Shahi Aloo Gobhi Large
3362,Thali
3363,Veg Pakoras (GF & V)
3364,Fish Pakora Salad
3365,Paratha
3366,Plain Kulcha
3367,CHEESECAKE SLICE
3368,Amritsari Fish Pakora
3369,Tikka Masala Sauce
3370,Jalapeno Poppers (8pcs)
3371,Sweet Lassi
3372,Boneless Chicken Biryani (Cheff Special)
3373,Shrimp Korma Medium
3374,S. Pellegrino (M / L)
3375,Tomato Chutney
3376,Aloo Tikkiyas
3377,Gift Card 200
3378,ALOO Tikki Chaat
3379,Chicken Kebab
3380,Goat Jalfrazi
3381,Chicken Tenders & Fries
3382,Steam MO:MO
3383,Lamb Momo
3384,Stuffed Mirchi
3385,Shahi Paneer(MT)
3386,Dal Makhni Paani Style
3387,Lamb Madras Curry
3388,Harvest Special Bread Basket
3389,Veg Kheema Biryani
3390,Lemonade Fresh Lassi
3391,Mutter Panner
3392,Iced Tea (Sweetened/Unsweetened)
3393,Baingan Bharta Small
3394,Lamb Jalfrezi
3395,Puri 5ps
3396,Paneer Naan
3397,Gobhi Aloo
3398,Cranberry Juice
3399,Mixed Vegetables Curry
3400,Lamb Do-Piaza Large
3401,Mulligatawny Soup
3402,Sambar Soup
3403,Chicken Biryani Large
3404,Tandoori Chicken ( 25 pc )
3405,Ulavacharu Biryani-Egg
3406,Sweet Lassi Medium
3407,Vegetarian Platter (Lunch)
3408,Nalla Karam Dosa (Spicy)
3409,ONION RINGS
3410,Coconut Nector
3411,PANEER PAKORA LARGE
3412,32 Oz. Lamb Family Dish
3413,Fish Jalfrezi
3414,HEINEKEN
3415,Karam Podi Dosa (Special Podi With Ghee)
3416,Tofu Saag
3417,Chilli Bajji (5pc)
3418,Gift Card 50
3419,MURGH SAAGWALA LUNCH
3420,Raita ( 32 oz )
3421,Chicken Coconut
3422,Onion Kulcha Medium
3423,"""BAKWAAS"" CHICKEN"
3424,Pepsi (Can)
3425,Vanilla Ice Cream
3426,Lamb Seekh Kebab (HALAL)
3427,Shan-A-Punjab Non-Vegetarian Platter
3428,Shrimp Fry Biryani
3429,Chef's Kebab Sampler
3430,Stuffed Naan Large
3431,Maya Paneer Pasanda
3432,Saag Paneer Lunch
3433,Szechuan Chicken Noodles
3434,Potato Curry
3435,Chicken Curry (With Bone)
3436,Chole Palak
3437,Fish Vindaloo
3438,Lamb ( Large Tray )
3439,Mushroom Palak
3440,Pineapple Fruit Juice
3441,Paneer Parotta 2pc
3442,Mineral Water (San Pellegrino)
3443,58. Cajun Fries
3444,Kandhari Naan
3445,Dahi Batata Purl
3446,Vegetable Platter
3447,Chicken Bhuna
3448,Veggie Tiffin Box
3449,MASALA NAN LUNCH
3450,Mozzarella Naan Small
3451,Bhutra
3452,Paneer Peri Peri Sandwich
3453,Gongura Veg Biryani
3454,Tikka Masala Sauce (16 Oz Container)
3455,Bheemas Special Chicken Roast
3456,Subz Panchmael
3457,Chikoo Shake
3458,Egg Kothu Paratha
3459,Reshmi Pakora
3460,Goat Bahar (With Bone)
3461,Aloo Curry & Poori(5pc)
3462,Paneer Pakoras
3463,Coconut Fish Curry
3464,LAMB SHEEK KABOB
3465,Extra White Rice
3466,Spinach Paratha (Vegan)
3467,Smoked Aubergine
3468,Mix Veg Masala
3469,Non- Veg Platter
3470,Pashawary Naan Medium
3471,Special Masala Omelette
3472,SMALL MASALA WAFFLE FRY
3473,Serving Spoon
3474,Bagara Baingan
3475,Chicken Joint Biryani
3476,Onion Naan(Onion Kulcha)
3477,Samosa Chana Chaat
3478,Saag Fish
3479,Lamb Boti Kabab Masala
3480,Mix Sabzi
3481,Baingan Butter Masala
3482,41. Beef Tikka Mix Masala Plate
3483,SMALL TATER TOTS
3484,Paneer Tikka Masala Roll
3485,Mangolorean Prawn
3486,Pashawary Naan Small
3487,Navrattan Korma
3488,Kadai Chicken
3489,Egg & Chicken Triple Schezuan Rice And Noodles
3490,Fish Jalfrezi (Lunch)
3491,Spicy Fries
3492,Special Curd Rice (Yogurt Rice)
3493,PANEER PAKORA LUNCH TOGO
3494,Catering Lamb Vindaloo (Party)
3495,2 Pieces Puri
3496,Sweet- Small Box
3497,"""PATAAS"" PAPDI CHAAT"
3498,GInger Ale
3499,Duck Kebab
3500,Kabuli Chana Medium
3501,Chicken Sheikh Kebab
3502,Gift Card 75
3503,Chicken Tandoori
3504,LAMB SAAG
3505,Schezwan Chicken Noodles
3506,Buttermilk (Moru)
3507,Shrimp Xacuti
3508,Mango Milk Shake
3509,Large Pana Still
3510,Chicken Samosa
3511,Shanti Mixed Grill
3512,Plain Rice
3513,Sliced Onions & Lemon Wedges
3514,Podi Dosa
3515,Hot & Sour Chicken
3516,Chicken Tikka Sauce 32 Oz
3517,Goat Rogan Josh
3518,23. Chicken Tikka
3519,Special Naan
3520,Passage Non-Veg-Combo Lunch Specials
3521,Nirvana Goat Large
3522,Chicken DoPiaza
3523,Karahi Paneer
3524,Badami Kulfi Ice Cream
3525,Homemade Pickle
3526,Chilly Chicken
3527,Fish Do Piaza
3528,Samosa Pav 2 Pc
3529,Mixed Vegetables Large
3530,Chicken Side Entree
3531,ALOO TIKKI LARGE
3532,Special Masala Chai (Hot or Iced)
3533,Tandoori Chicken With Chillies
3534,Plain Paratha
3535,Chicken Curry (Kathi Roll)
3536,Paneer Pakora (Indian Cottage Cheese)
3537,Moong Daal Halwa
3538,Cut Onions And Green Chille
3539,Paneer Chili Masala
3540,Chana Puri
3541,ALOO TIKKI SMALL
3542,Pao Bhaji
3543,Chicken Methi Medium
3544,Extra Sambar
3545,Chicken Lollipops (5)
3546,Catering Chicken Muncharian (Party)
3547,Paneer Masala Dosa
3548,Vegetable Hakka Noodles
3549,Diwani Handi
3550,Kemma Matar (Lunch)
3551,Lamb Chops (3 pcs)
3552,CRISPY SESAME GOBHI
3553,Tea
3554,Lamb Madras
3555,The Chicken Curry
3556,"LAMB ""BOMB"" CHAAT"
3557,Roasted Papad
3558,Paneer Tikka Halal Burrito
3559,Plain Fried Wings
3560,Street Style Haku Choila (Chicken)
3561,Curd Rice
3562,GUEST SIZE - (4)
3563,Catering Chicken Curry
3564,Channa Masala ( Small Tray )
3565,Boss Nan
3566,Mastan Kheema Pulav
3567,Hot & Sour Soup
3568,Peas Pullao (Vegan)
3569,Boss Naan
3570,Beef/Lamb/Goat Vindaloo
3571,Kofta Biryani
3572,Chilly Naan Bread
3573,Sweet/Salt Lassi
3574,Spicy Cheese Chili
3575,Nirvana Biryani Medium
3576,Panner Tikka
3577,BULLET NAAN
3578,Aloo Bhindi Large
3579,Lamb Paneer Masala
3580,Chana Butter Masala
3581,"Onion, Chilli & Lemons"
3582,Malabar Paratha(2pcs)
3583,Nirvana Non-Vegetarian Platter
3584,Chicken Tikka Masala ( Large Tray )
3585,Chana Saag
3586,Chefs Bread Basket
3587,8 Oz. Steamed Cabbage
3588,Fiery Fried Rice
3589,Hyderabadi Dum Biryani
3590,Lamb Pav Bhaji
3591,Dark Roast Coffee
3592,Tofu Korma
3593,Paneer Tikka
3594,Lamb T. Masala
3595,Aloo (Potato) Tikka Masala
3596,Chicken Noodles
3597,Gobhi Achari
3598,Extra
3599,Plantain Curry
3600,Paneer Special Biryani
3601,Fish Saffron Curry
3602,Paneer Manchurian
3603,Aloo Tiki (2 Pcs.)
3604,Paneer Burji
3605,Paneer & Onion Paratha
3606,Prawns Anaardana
3607,Chocolate Paan
3608,Salt Mint Lassi
3609,Chanaa Masala
3610,Raitha
3611,Shrimp Korma Small
3612,Peas Pulao Large
3613,Vegetable Coconut Curry
3614,TANDOORI SALMON LUNCH
3615,Allo Sang
3616,"""Raju Gari"" Pulao"
3617,Naan 40
3618,Chicken Tikka Dal Medium
3619,Shrimp Manchuria
3620,GARDEN SALAD SMALL
3621,Dhal Makhani
3622,Chicken Tikka Masala Medium
3623,Cheese Butter Masala
3624,Tripple Schezwan Rice
3625,Chefs Special Biryani
3626,Admin Fee
3627,Tandoori Jhinga
3628,20 PIECE WINGS
3629,Fish Madras Curry
3630,Chaffing Dishes and Sterno
3631,Tofu Chilly
3632,Kids Fish And Chips
3633,KathmanduMix Veg
3634,21. Lamb Chops Platter
3635,Lamb Korma Small
3636,Sweet Corn Soup
3637,Chicken Mushroom
3638,Extra Schezwan Chutney On A Side
3639,Paneer Curry
3640,Duck Choila
3641,Banana Chat
3642,Bhatura(2 Pcs)
3643,Tomato Coconut Soup
3644,Chicken Samosa (2 Pc)
3645,Veg Cheese Masala Grill Sandwich
3646,Fish Tikka Masala
3647,Chilli Garlic Naan
3648,Chicken Roll
3649,Lauki Ka Halwa
3650,Hot & Sour Veg Soup
3651,Chicken Nan
3652,Seafood Xacuti
3653,VEG SAMOSA MEDIUM
3654,Thumbs Up
3655,Garlic Naan Bread
3656,Mango Chutney (32 Oz.)
3657,Dabeli
3658,Chicken Jalfrezi Platter
3659,Chicken Baingan Butter Masala
3660,SMALL SWEET POTATO FRY
3661,Tandoori Machali
3662,Vegetarian Samosa (2 Pieces)
3663,Achaari Aloo
3664,Jalapeno Cheese Poper 4pcs
3665,Curry Shrimp Dinner With Rice
3666,Kerela Fish Curry Medium
3667,Mirch Ka Saalan
3668,Roasted Potato And Garlic Soup
3669,Grafigna Bottle
3670,Chicken Malai Kofta
3671,Aloo Chole (Vegan)
3672,Aloo Pakora
3673,Bottled Water 16.9oz
3674,Chicken Biryani
3675,Taste Of India Briyani
3676,Extra Sambhar
3677,Raita
3678,Paneer Do-Piaza
3679,Chicken Vindaloo Catering
3680,Methi Gota 6pc.
3681,Swordfish Masala Large
3682,Goat Curry ( Large Tray )
3683,Corona Extra
3684,"Medley Of Chicken, Lamb, And Shrimp Biryani"
3685,Aloo Naan Bread
3686,Garlic Mushrooom Soup
3687,Bhindi Masala 12oz
3688,Rajugari Goat Pulav
3689,Veg Sweet Corn Soup
3690,Beef Biryani
3691,Babai Idly (2)
3692,Soy Masala
3693,Chicken Do-Pyaza
3694,Chickoo Mava Milksha
3695,Andhra Shrimp Curry
3696,LOADED CHOCOLATE CHIP COOKIE
3697,Kadi Pakora
3698,Ulavacharu Idli
3699,Lamb Dal Masala
3700,GRAFFIGNA Glass
3701,Chennai Mini Idli (Sambar Mini Idli)
3702,Chicken Yakisoba
3703,Tomato & Coconut Soup
3704,Meat Kofta Masala
3705,Mutton Haleem
3706,Plain Naan
3707,Lamb Tikka Kebab
3708,Doaba Choley
3709,Gluten Free Bread
3710,Half Tandoori Chicken (4pc)
3711,2 Poori
3712,Coke Products
3713,Chicken Fried Rice
3714,Chicken Korma (Lunch)
3715,Tandoori Chicken ( 60 Pc )
3716,NAN Tandoori 2pcs
3717,Vegetarian Fried Rice
3718,Ankapur Curry
3719,Lassi - Salty
3720,Bombay Aloo Spicy Masala Cheese Sanwich Grilled
3721,Double Cheese Pizza
3722,Fanta Orange Soda
3723,Stuffed Naan
3724,Chicken Tikka Platter
3725,Catering Paneer Tikka
3726,Noodles Veg/Egg/Chicken
3727,Catering Chicken Saag
3728,Mixed Platter (For Two)
3729,Green Salad
3730,Seafood Thukpa
3731,Spring Mix Salad
3732,Lamb Tikka Masala
3733,Shrimp Biryani
3734,Veggie Vindloo
3735,39. Chicken Kofta Mix Masala Plate
3736,Shrimp Jalfrizi
3737,Pistachi Shake
3738,Strawberry Lassi
3739,Gongura Chicken
3740,Seafood Madras
3741,Pistachio Ice Cream
3742,32. Chicken Chapli Naan
3743,Drums Of Heaven
3744,Ulavucharu Paneer Biryani
3745,Lamb Masala
3746,Lamb Vindaloo (Lunch)
3747,RESHMI PAKORAS LARGE
3748,South Indian Combo
3749,Bhatura (One)
3750,Mutter Aloo
3751,Hot & Sour Veg.
3752,Special Mix Grill
3753,Baingan Mirchi Salan
3754,Goat Vindaloo (With Bone) (Lunch)
3755,Mint Paratha
3756,Chicken Pakora (gluten free)
3757,Casamigos Blanco
3758,Kulfi Bengali
3759,Bombay Bhel Puri
3760,THE ALL AMERICAN
3761,Soda (20 Oz.)
3762,Lamb Achri
3763,Andhra Chicken Curry
3764,Aloo Curry
3765,Tawa Roti (2pc)
3766,Quanti
3767,Dal Maharani
3768,Veg Chettinaad
3769,Papad Kachumber Salad
3770,Anda Palak
3771,Catering Beef Vindaloo
3772,Roti
3773,Chow Mein Nepali
